,Unnamed: 0,nameC,cust_idPP
0,0,Adria Airways,2.167256755290728e+18
1,1,Advanced Air,
2,2,Aegean Airlines,
3,3,Aer Lingus,
4,4,Aero Mongolia,
5,5,Aeroflot,
6,6,Aerogaviota,
7,7,Aerolinea de Antioquia,
8,8,Aerolineas Argentinas,1.170162735509357e+18
9,9,Aeromar,
10,10,Aeromexico,1.802744593969958e+18
11,11,Africa World Airlines,
12,12,African Express Airways,
13,13,Afriqiyah Airways,2.264787948730098e+18
14,14,Aigle Azur,1.2222766410768123e+18
15,15,Air Algerie,1.234219469590353e+18
16,16,Air Antilles,
17,17,Air Arabia,
18,18,Air Astana,
19,19,Air Austral,1.4367835613597156e+18
20,20,Air Bagan,
21,21,Air Baltic,
22,22,air berlin [no longer operating],
23,23,Air Botswana,2.142805176000248e+18
24,24,Air Burkina,
25,25,Air Busan,
26,26,Air Cairo,
27,27,Air Canada,1.347639480819021e+18
28,28,Air Canada Rouge,
29,29,Air Caraibes,2.3038765222384248e+18
30,30,Air Century,
31,31,Air Changan,
32,32,Air Chathams,
33,33,Air China,
34,34,Air Choice One,
35,35,Air Corsica,1.6856234659170854e+18
36,36,Air Costa (no longer operating),
37,37,Air Cote d Ivoire,
38,38,Air Do,
39,39,Air Dolomiti,
40,40,Air Europa,
41,41,Air Flamenco,
42,42,Air France,1.8858039309689777e+18
43,43,Air Greenland,
44,44,Air Guilin,
45,45,Air Iceland Connect (**this is not Icelandair**),
46,46,Air India,
47,47,Air India Express,
48,48,Air Italy,
49,49,Air Juan,
50,50,Air KBZ,
51,51,Air Kiribati,
52,52,Air Koryo,
53,53,Air Kyrgyzstan,
54,54,Air Macau,1.5353743599380882e+18
55,55,Air Madagascar,1.747929377289964e+18
56,56,Air Malta,
57,57,Air Manas,
58,58,Air Mauritius,2.2281630995568617e+18
59,59,Air Mediterranean,
60,60,Air Moldova,
61,61,Air Namibia,
62,62,Air New Zealand,1.5847323598681516e+18
63,63,Air Niugini,
64,64,Air North (Canada),
65,65,Air Nostrum,
66,66,Air Panama,
67,67,Air Peace,
68,68,Air Pegasus (no longer operating),
69,69,Air Rarotonga,1.4963005546943153e+18
70,70,Air Saint Pierre,
71,71,Air Senegal,
72,72,Air Seoul,
73,73,Air Serbia,
74,74,Air Seychelles,
75,75,Air Tahiti,
76,76,Air Tahiti Nui,1.313886583302892e+18
77,77,Air Transat,1.757092170782979e+18
78,78,Air Vanuatu,
79,79,Air VIA [no longer operating],
80,80,Air Zimbabwe,1.263052076475857e+18
81,81,AirAsia - AirAsia Berhad (Malaysia),
82,82,AirAsia - AirAsia India,
83,83,AirAsia - AirAsia Japan,
84,84,AirAsia - AirAsia X Berhad (Malaysia),
85,85,AirAsia - Indonesia AirAsia,
86,86,AirAsia - Philippines AirAsia,
87,87,AirAsia - Thai AirAsia,
88,88,AirAsia - Thai AirAsia X,
89,89,Airblue,
90,90,Aircalin,
91,91,AirKenya Express,
92,92,Airlink,1.647083549154208e+18
93,93,Airnorth (Australia),
94,94,AirSWIFT,
95,95,Alaska Airlines,
96,96,Alaska Seaplanes,
97,97,Alba Star,
98,98,Alexandria Airlines,
99,99,Alitalia,1.4711952621881946e+18
100,100,Allegiant Air,1.378946249733187e+18
101,101,Alliance Airlines,
102,102,AlMasria Universal,
103,103,ALROSA,
104,104,Alsie Express,1.170147507836705e+18
105,105,Amazonas,
106,106,American Airlines,1.7266353666899044e+18
107,107,ANA (All Nippon Airways),
108,108,AnadoluJet,
109,109,Andes Lineas Aereas,
110,110,Angara Airlines,
111,111,Anguilla Air Services,
112,112,Ariana Afghan Airlines,
113,113,Arik Air,
114,114,Arkia Israel Airlines,
115,115,Aruba Airlines,1.451351856248765e+18
116,116,Aserca Airlines (no longer operating),
117,117,Asia Atlantic Airlines,
118,118,Asiana Airlines,2.0332317357054377e+18
119,119,ASKY Airlines,
120,120,ASL France,
121,121,Astra Airlines,
122,122,ATA Airlines (Iran),
123,123,Atlantic Airways,
124,124,Atlas Air,
125,125,Atlas Atlantique [no longer operating],
126,126,AtlasGlobal,
127,127,Aurigny,
128,128,Aurora,2.286178819183092e+18
129,129,Austral Lineas Aereas,
130,130,Austrian Airlines,1.7105115096402652e+18
131,131,Avianca,2.0822562673051648e+18
132,132,Avior Airlines,
133,133,Azerbaijan Airlines,
134,134,Azimuth,
135,135,Aztec Airways,
136,136,Azul,
137,137,Azur Air,
138,138,Bahamasair,
139,139,Bamboo Airways,
140,140,Bangkok Airways,1.6377478787080315e+18
141,141,Bassaka Air,
142,142,Batik Air,
143,143,Bayon Airlines,
144,144,Bearskin Airlines,
145,145,Beijing Capital Airlines,
146,146,Bek Air,
147,147,Belavia Belarusian Airlines,
148,148,BH Air,
149,149,Bhutan Airlines,
150,150,Biman Bangladesh Airlines,
151,151,Binter,2.0278344415871793e+18
152,152,Blue Air,1.92843711977338e+18
153,153,Blue Islands Air,
154,154,Blue Panorama Airlines,
155,155,Boliviana de Aviacion,1.2087587181345595e+18
156,156,Borajet [no longer operating],
157,157,Boutique Air,
158,158,BRA (Braathens Regional Airways AB),
159,159,British Airways,1.2128540128604298e+18
160,160,Brussels Airlines,1.2909646987452076e+18
161,161,Buddha Air,
162,162,Bulgaria Air,
163,163,Buta Airways,
164,164,Calafia Airlines,1.550926871044508e+18
165,165,CalmAir International,
166,166,Cambodia Angkor Air,
167,167,Canadian North,1.8350070996632433e+18
168,168,Canaryfly,
169,169,Cape Air,2.188708596821903e+18
170,170,Caribbean Airlines,1.6050338269326582e+18
171,171,Caspian Airlines,
172,172,Cathay Dragon (Dragonair),
173,173,Cathay Pacific,1.287294872361917e+18
174,174,Cayman Airways,
175,175,Cebu Pacific Air,
176,176,CemAir,
177,177,Central Mountain Air,
178,178,Chair,
179,179,Cham Wings,
180,180,Chengdu Airlines,
181,181,China Airlines,1.9853084655063465e+18
182,182,China Eastern Airlines,
183,183,China Express Airlines,
184,184,China Southern Airlines,
185,185,China United Airlines,
186,186,Chongqing Airlines,
187,187,Cinnamon Air,
188,188,Citilink,
189,189,CityJet,
190,190,Citywing [no longer operating],
191,191,CM Airlines,2.1676164724155791e+18
192,192,Cobalt [no longer operating],
193,193,Colorful GuiZhou Airlines,
194,194,Condor,1.8321842131124608e+18
195,195,Contour,1.7594509348161295e+18
196,196,Copa Airlines,1.3908719387271557e+18
197,197,Copenhagen AirTaxi,
198,198,Corendon Airlines,
199,199,Corsair,
200,200,Croatia Airlines,
201,201,Cubana de Aviacion,
202,202,Cyprus Airways,
203,203,Czech Airlines,
204,204,Daallo Airlines,1.4188427403957962e+18
205,205,Dalian Airlines,
206,206,DAT Danish Air Transport,
207,207,Delta Air Lines,1.273310694486866e+18
208,208,Denver Air Connection,
209,209,Dniproavia [no longer operating - merged into Windrose Airlines],
210,210,Donghai Airlines,
211,211,Druk Air,
212,212,Dynamic International Airways,
213,213,Eagle Air,
214,214,Eastar Jet,
215,215,Eastern Airways,
216,216,EasyFly,1.3072965144599406e+18
217,217,easyJet,1.5056905697554678e+18
218,218,Edelweiss Air,
219,219,EGYPTAIR,2.094703670606278e+18
220,220,El Al Israel Airlines,
221,221,Elite Airways,2.0157349516123092e+18
222,222,Ellinair,
223,223,Emirates,1.3301649373608146e+18
224,224,Enter Air,
225,225,Equatorial Congo Airlines [no longer operating],
226,226,Eritrean Airlines,
227,227,Ernest,2.1080809172512023e+18
228,228,Ethiopian Airlines,
229,229,Etihad Airways,1.2083711968979784e+18
230,230,Etihad Regional [no longer operating],
231,231,Euro Atlantic,
232,232,European Coastal Airlines [no longer operating],
233,233,Eurowings,
234,234,EVA Air,
235,235,Evelop,
236,236,Far Eastern Air Transport,
237,237,fastjet,
238,238,Fiji Airways,
239,239,Finnair,1.1566767274400172e+18
240,240,firefly,1.6411700847902282e+18
241,241,First Air,2.1671005494162335e+18
242,242,Flair Airlines,
243,243,Fly Allways,
244,244,Fly Baghdad,
245,245,Fly Corporate,
246,246,Fly Tiwi,
247,247,Fly540,
248,248,Flyadeal,
249,249,FlyArystan,
250,250,Flybe,1.7777925130259615e+18
251,251,flybmi [no longer operating],
252,252,Flybondi,
253,253,flydubai,
254,254,FlyEgypt,2.0854488215529e+18
255,255,Flyme,1.3868142249921807e+18
256,256,Flynas,
257,257,FLYONE,
258,258,FlyPelican,
259,259,FlySafair,
260,260,FMIAir,
261,261,French bee,
262,262,Frontier Airlines,
263,263,Fuji Dream Airlines,
264,264,Fuzhou Airlines,
